month,net_gmv,order,customer,unit_sold,avg_unit_price,active_order_days,return_value,return_unit,return_rate,top20_coverage,top50_coverage,hhi,calendar_days_in_month,is_partial_month,net_gmv_per_active_day,product_sales_before_returns,net_gmv_mom,return_rate_mom,top20_coverage_mom,top50_coverage_mom,hhi_mom
2010-12,778608.36,1551,884,358761,3.823418346359523,20,-17607.86,16009,0.022114420125729166,0.202219560036576,0.3189456506734657,0.003935121097785327,31,False,38930.418,778608.36,,,,,
2011-01,672192.41,1081,739,387431,3.342848192065583,24,-91576.3,79785,0.11990056518549967,0.26470873123961636,0.35499177980899843,0.01563376200691989,31,False,28008.017083333336,672192.41,-0.13667455355860803,4.42182722874115,0.309016453164757,0.11301652510206672,2.9728795171560334
2011-02,509167.87,1093,757,283256,3.545335533145484,24,-8375.87,2606,0.01618388814827516,0.14608215557670595,0.2502079127655875,0.0026016259925383915,28,False,21215.327916666665,509167.87,-0.24252660038217333,-0.8650224198423346,-0.4481400183038493,-0.29517265751840605,-0.833589254372246
2011-03,692015.94,1440,973,377125,3.4745880470482553,27,-10675.3,4338,0.015192020893842365,0.1565803961105289,0.2665348575641191,0.002928206535229512,31,False,25630.219999999998,692015.94,0.3591115637363369,-0.0612873275782313,0.07186531778900584,0.065253511042346,0.1255293972414835
2011-04,516709.791,1235,853,308526,3.325821429804274,21,-33316.909999999996,13600,0.060573259333459153,0.1907405698840338,0.2901866630199001,0.003678020840166419,30,False,24605.228142857144,516709.791,-0.25332674995896765,2.9871758837568954,0.21816379714221368,0.08873813231010952,0.2560660581539673
2011-05,741711.74,1668,1054,395404,3.464034229828851,25,-8948.23,4057,0.011920483784422392,0.16664488821492834,0.2750268992641265,0.0031702175407185883,31,False,29668.4696,741711.74,0.4354512976511411,-0.8032055082458174,-0.12632698792792274,-0.05224142142857202,-0.13806428008843308
2011-06,739426.88,1525,990,388843,3.3837018720312937,26,-13775.84,7216,0.01828968434952014,0.19464978065173935,0.3091265900422771,0.005420215491926308,30,False,28439.495384615384,739426.88,-0.003080522899637561,0.5343072211063258,0.1680513140054558,0.12398674773045548,0.7097298284135152
2011-07,689947.741,1452,946,401369,3.0394274235489913,26,-11409.21,5946,0.01626733717222402,0.15772620668671772,0.27244669245174036,0.002909638816778757,31,False,26536.45157692308,689947.741,-0.06691552652237898,-0.11057310441495838,-0.1896923481824211,-0.11865655939050823,-0.4631876129071224
2011-08,737067.22,1341,933,421460,3.481129586488061,26,-22929.52,11662,0.030170550468413854,0.16731263669546992,0.27826843255897343,0.002825457807835949,31,False,28348.739230769228,737067.22,0.06829427244983166,0.8546705062417435,0.06077892957758868,0.02136836404525,-0.02893177271947589
2011-09,1031400.361,1819,1259,569967,3.090423852799739,26,-17044.68,7084,0.016257103933404935,0.11675486508773872,0.22394709051299236,0.001971519302936737,30,False,39669.24465384615,1031400.361,0.39933011944283736,-0.4611598502180191,-0.3021754519340504,-0.1952120172110028,-0.3022301386100872
2011-10,1107386.49,2005,1361,621744,3.091014674271787,26,-43992.159999999996,23847,0.0382082471305161,0.1203641467578316,0.21942009604975404,0.001945095089697213,31,False,42591.788076923076,1107386.49,0.07367277720004584,1.3502492994466357,0.030913329970280623,-0.02021457145466099,-0.013402969577910318
2011-11,1458895.53,2751,1660,750105,3.0982332912230044,26,-25010.54,12332,0.01685453042186154,0.168656072309715,0.27329777341904665,0.0029537411557966193,30,False,56111.36653846154,1458895.53,0.3174221856363808,-0.558877161669105,0.4012152028049103,0.24554577424428659,0.5185587437046171
2011-12,615701.6,816,614,313288,3.2021712733663525,8,-174126.76,83550,0.22046151900648392,0.3995290900657072,0.4899846776425464,0.0765383261873777,31,True,76962.7,615701.6,-0.5779673133963198,12.08025281561861,1.3688983420177356,0.7928601155899442,24.912333596724874
